IDCliente,Prefijo,Nombre,Apellido,Nacimiento,EstadoCivil,Género,correo-e,IngresoAnual,Hijos,NivelEducativo,Ocupacion
26205,Srita.,Jamie,Ye,18/10/1997,Soltero,F,yejamie1997@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26206,Sr.,Luke,Simmons,11/5/1997,Soltero,M,simmonsluke1997@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26207,Srita.,Erin,Richardson,15/1/2001,Soltero,F,richardsonerin2001@ciclovida.com,8000,0,Educacion Secundaria Incompleta,Oficinista
26208,Sra.,Joan,Vazquez,9/8/1972,Casado,F,vazquezjoan1972@ciclovida.com,2000,2,Educacion Secundaria Incompleta,Oficinista
26209,Sr.,Caleb,Hill,27/12/2000,Casado,M,hillcaleb2000@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26210,Srita.,Natalie,Barbosa,17/10/2001,Soltero,F,barbosanatalie2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26211,Srita.,Kristen,Lu,30/6/2001,Soltero,F,lukristen2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26212,Sr.,Jonathan,Wright,13/4/2001,Casado,M,wrightjonathan2001@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26213,Sr.,Jose,White,11/5/2001,Casado,M,whitejose2001@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26214,Sra.,Barbara,Zaldivar,21/1/1973,Casado,F,zaldivarbarbara1973@ciclovida.com,4000,2,Educacion Secundaria Incompleta,Oficinista
26215,Sr.,Seth,Davis,7/3/1974,Casado,M,davisseth1974@ciclovida.com,6000,3,Educacion Universitaria Completa,Oficinista
26216,Sr.,Sean,Martinez,29/10/2004,Soltero,M,martinezsean2004@ciclovida.com,4000,0,Educacion Universitaria Completa,Operativo Calificado
26217,Sra.,Lacey,Raji,1/10/1975,Casado,F,rajilacey1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26218,Sr.,Gregory,Jai,12/2/1975,Casado,M,jaigregory1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26219,Sr.,Joel,Martinez,29/6/1975,Casado,M,martinezjoel1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26220,Sr.,Xavier,King,23/3/2004,Soltero,M,kingxavier2004@ciclovida.com,14000,0,Educacion Universitaria Completa,Operativo Calificado
26221,Sr.,Francis,Ramos,29/8/1977,Casado,M,ramosfrancis1977@ciclovida.com,8000,3,Educacion Universitaria Completa,Operativo Calificado
26222,Sr.,Marc,Navarro,19/4/1977,Casado,M,navarromarc1977@ciclovida.com,8000,3,Educacion Universitaria Completa,Operativo Calificado
26223,Sr.,Raul,Sharma,8/4/1977,Casado,M,sharmaraul1977@ciclovida.com,14000,2,Postgrado,Administrativo
26224,Sr.,Roy,Raman,9/5/1978,Casado,M,ramanroy1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26225,Sr.,Levi,Sai,18/2/1978,Soltero,M,sailevi1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26226,Sr.,Fernando,Torres,20/12/1977,Soltero,M,torresfernando1977@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26227,Sra.,Martha,Xu,12/5/1978,Soltero,F,xumartha1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26228,Sra.,Tiffany,Gao,11/6/1978,Soltero,F,gaotiffany1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26229,Sr.,Alejandro,Xu,12/9/1999,Casado,M,xualejandro1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26230,Srita.,Janet,Torres,13/12/1998,Soltero,F,torresjanet1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26231,Srita.,Sam,Foster,2/5/1999,Soltero,F,fostersam1999@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26232,Srita.,Sophia,Barbosa,23/10/1999,Casado,F,barbosasophia1999@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26233,Srita.,Margaret,Russell,22/7/1998,Soltero,F,russellmargaret1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26234,Sr.,Samuel,Jai,13/11/1997,Casado,M,jaisamuel1997@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26235,Sra.,Shelby,Richardson,14/1/1978,Casado,F,richardsonshelby1978@ciclovida.com,6000,1,Educacion Secundaria Completa,Oficinista
26236,Sr.,Justin,Garcia,7/6/1978,Casado,M,garciajustin1978@ciclovida.com,6000,1,Educacion Secundaria Completa,Oficinista
26237,Sr.,Wyatt,White,15/3/1979,Casado,M,whitewyatt1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26238,Sr.,Joshua,Smith,7/3/1979,Casado,M,smithjoshua1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26239,Sra.,Melanie,Ramirez,6/1/1979,Casado,F,ramirezmelanie1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26240,Sra.,Shawna,Zaldivar,16/3/1979,Casado,F,zaldivarshawna1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26241,Sra.,Jenna,Zaldivar,24/5/1979,Casado,F,zaldivarjenna1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26242,Sra.,Isabelle,Henderson,14/5/1979,Casado,F,hendersonisabelle1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26243,Sra.,Emily,Williams,6/4/1979,Soltero,F,williamsemily1979@ciclovida.com,16000,5,Postgrado,Operativo Calificado
26244,Sra.,Lauren,Williams,13/9/1979,Soltero,F,williamslauren1979@ciclovida.com,16000,5,Postgrado,Operativo Calificado
26245,Sra.,Isabel,Perez,1/7/1980,Casado,F,perezisabel1980@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26246,Sra.,Molly,Gonzalez,1/12/1979,Casado,F,gonzalezmolly1979@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26247,Sr.,Caleb,Diaz,18/1/1980,Casado,M,diazcaleb1980@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26248,Sra.,Vanessa,Foster,10/6/1981,Casado,F,fostervanessa1981@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26249,Sra.,Sara,Cook,25/2/1981,Casado,F,cooksara1981@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26250,Sr.,Edward,Perez,20/10/1981,Casado,M,perezedward1981@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26251,Sra.,Gabriella,Hernandez,28/6/1981,Casado,F,hernandezgabriella1981@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26252,Sra.,Maria,Wright,12/10/1981,Casado,F,wrightmaria1981@ciclovida.com,8000,1,Educacion Universitaria Completa,Oficinista
26253,Sra.,Jordan,Alvarez,31/7/1982,Soltero,F,alvarezjordan1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26254,Sra.,Hailey,Barbosa,21/1/1982,Soltero,F,barbosahailey1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26255,Sr.,Marc,Jimenez,31/7/1982,Casado,M,jimenezmarc1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26256,Sra.,Mariah,Torres,29/8/1982,Soltero,F,torresmariah1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26257,Sra.,Kayla,Davis,8/4/1982,Soltero,F,daviskayla1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26258,Sra.,Jennifer,Davis,8/4/1982,Soltero,F,davisjennifer1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26259,Sr.,Brian,Kelly,2/3/1982,Soltero,M,kellybrian1982@ciclovida.com,16000,4,Postgrado,Operativo Calificado
26260,Sra.,Jada,Reed,28/3/1983,Soltero,F,reedjada1983@ciclovida.com,12000,4,Postgrado,Operativo Calificado
26261,Sr.,James,Perez,22/10/1983,Casado,M,perezjames1983@ciclovida.com,12000,4,Postgrado,Operativo Calificado
26262,Sr.,Philip,Moyer,21/7/1992,Soltero,M,moyerphilip1992@ciclovida.com,4000,1,Educacion Universitaria Completa,Operativo
26263,Sr.,Douglas,Vance,30/8/1992,Casado,M,vancedouglas1992@ciclovida.com,4000,1,Educacion Universitaria Completa,Operativo
26264,Sr.,Jay,Torres,1/10/1992,Casado,M,torresjay1992@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26265,Sr.,Arturo,Shen,9/8/1992,Soltero,M,shenarturo1992@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26266,Sr.,Mario,Nath,1/1/1992,Soltero,M,nathmario1992@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26267,Sr.,Sergio,Suri,9/9/1992,Soltero,M,surisergio1992@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26268,Srita.,Kari,Raman,14/8/1992,Casado,F,ramankari1992@ciclovida.com,8000,0,Postgrado,Oficinista
26269,Sr.,Xavier,Edwards,18/5/1992,Casado,M,edwardsxavier1992@ciclovida.com,8000,0,Postgrado,Oficinista
26270,Sr.,Roberto,Bell,12/4/1991,Soltero,M,bellroberto1991@ciclovida.com,2000,3,Educacion Secundaria Completa,Operativo
26271,Sra.,Tara,Pal,13/10/1991,Casado,F,paltara1991@ciclovida.com,2000,3,Educacion Secundaria Completa,Operativo
26272,Sr.,Keith,Rai,20/2/1991,Soltero,M,raikeith1991@ciclovida.com,2000,4,Educacion Secundaria Incompleta,Operativo
26273,Sr.,Andy,Navarro,17/2/1991,Casado,M,navarroandy1991@ciclovida.com,4000,1,Educacion Universitaria Completa,Operativo
26274,Sr.,Emmanuel,Rana,19/10/1991,Soltero,M,ranaemmanuel1991@ciclovida.com,4000,1,Educacion Secundaria Completa,Operativo
26275,Sr.,Arturo,Xu,22/8/1991,Soltero,M,xuarturo1991@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26276,Sr.,Theodore,Ramos,13/1/1991,Casado,M,ramostheodore1991@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26277,Sra.,Margaret,Gao,15/7/1991,Soltero,F,gaomargaret1991@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26278,Sr.,Alexander,Martinez,8/8/1991,Soltero,M,martinezalexander1991@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26279,Sr.,Roberto,Suarez,24/8/1990,Casado,M,suarezroberto1990@ciclovida.com,4000,1,Educacion Secundaria Completa,Operativo
26280,Sr.,Raul,Nara,11/5/1991,Casado,M,nararaul1991@ciclovida.com,8000,0,Educacion Universitaria Completa,Oficinista
26281,Srita.,Adriana,Sai,11/2/1991,Casado,F,saiadriana1991@ciclovida.com,8000,0,Educacion Universitaria Completa,Oficinista
26282,Sr.,Dakota,Henderson,19/9/1991,Casado,M,hendersondakota1991@ciclovida.com,8000,0,Educacion Universitaria Completa,Oficinista
26284,Sr.,Arthur,Martinez,14/12/1988,Casado,M,martinezarthur1988@ciclovida.com,6000,1,Educacion Universitaria Completa,Operativo Calificado
26285,Sra.,Ebony,Martinez,22/8/1989,Casado,F,martinezebony1989@ciclovida.com,6000,1,Educacion Universitaria Completa,Operativo Calificado
26286,Sra.,Joy,Navarro,24/8/1988,Soltero,F,navarrojoy1988@ciclovida.com,2000,4,Educacion Secundaria Incompleta,Operativo
26287,Sr.,Stanley,Sanchez,26/6/1988,Soltero,M,sanchezstanley1988@ciclovida.com,2000,3,Educacion Secundaria Incompleta,Operativo
26288,Sra.,Leah,Liang,16/4/1988,Soltero,F,liangleah1988@ciclovida.com,2000,3,Educacion Secundaria Incompleta,Operativo
26289,Sra.,Julia,Gonzalez,12/3/1955,Casado,F,gonzalezjulia1955@ciclovida.com,2000,4,Educacion Secundaria Completa,Operativo
26290,Sra.,Kelly,Flores,22/4/1988,Soltero,F,floreskelly1988@ciclovida.com,2000,3,Educacion Secundaria Incompleta,Operativo
26291,Sr.,Andre,Patel,22/4/1988,Soltero,M,patelandre1988@ciclovida.com,4000,3,Educacion Secundaria Completa,Operativo
26292,Sr.,Brian,Rivera,22/3/1988,Soltero,M,riverabrian1988@ciclovida.com,6000,2,Educacion Universitaria Completa,Operativo
26293,Sr.,Noah,Barbosa,7/7/1988,Soltero,M,barbosanoah1988@ciclovida.com,6000,2,Educacion Universitaria Completa,Operativo
26294,Sra.,Katrina,Rai,1/7/1987,Soltero,F,raikatrina1987@ciclovida.com,2000,3,Educacion Secundaria Incompleta,Operativo
26295,Sra.,Lacey,Simpson,28/4/1987,Casado,F,simpsonlacey1987@ciclovida.com,4000,3,Educacion Secundaria Completa,Operativo
26296,Sr.,Eddie,Alvarez,24/9/1987,Soltero,M,alvarezeddie1987@ciclovida.com,4000,3,Educacion Secundaria Completa,Operativo
26297,Sra.,Natasha,Diaz,15/8/1987,Soltero,F,diaznatasha1987@ciclovida.com,4000,3,Educacion Secundaria Completa,Operativo
26298,Sr.,Kurt,Xu,30/1/1987,Soltero,M,xukurt1987@ciclovida.com,4000,3,Educacion Secundaria Completa,Operativo
26299,Sr.,Sergio,Martinez,28/3/1957,Soltero,M,martinezsergio1957@ciclovida.com,2000,4,Educacion Secundaria Completa,Operativo
26300,Srita.,Brandi,Diaz,23/5/1990,Casado,F,diazbrandi1990@ciclovida.com,8000,0,Educacion Universitaria Completa,Profesional
26301,Srita.,Lisa,Lu,21/12/1989,Casado,F,lulisa1989@ciclovida.com,8000,0,Educacion Universitaria Completa,Profesional
26302,Sr.,Jorge,Ye,16/5/1990,Casado,M,yejorge1990@ciclovida.com,8000,0,Educacion Universitaria Completa,Profesional
26303,Srita.,Kendra,Alvarez,18/1/1990,Soltero,F,alvarezkendra1990@ciclovida.com,12000,0,Postgrado,Operativo Calificado
26304,Sr.,Ryan,Ross,31/1/1987,Soltero,M,rossryan1987@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo
26305,Sra.,Jaclyn,Luo,21/8/1986,Casado,F,luojaclyn1986@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26306,Sr.,Franklin,Rai,12/6/1989,Soltero,M,raifranklin1989@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
26307,Sr.,Jermaine,Rodriguez,9/7/1989,Soltero,M,rodriguezjermaine1989@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
26308,Sr.,John,Garcia,13/6/1988,Soltero,M,garciajohn1988@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
26309,Sr.,Mathew,Dominguez,1/4/1988,Casado,M,dominguezmathew1988@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
26310,Sra.,Taylor,Barbosa,9/8/1988,Casado,F,barbosataylor1988@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26311,Sr.,Steven,Cooper,14/5/1988,Casado,M,coopersteven1988@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26312,Sr.,Ethan,Henderson,20/6/1987,Soltero,M,hendersonethan1987@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
26313,Sr.,Jésus,Gutierrez,29/8/2001,Soltero,M,gutierrezjésus2001@ciclovida.com,4000,0,Educacion Secundaria Completa,Operativo
26314,Srita.,Kaitlin,Alvarez,22/5/2000,Casado,F,alvarezkaitlin2000@ciclovida.com,2000,0,Educacion Secundaria Incompleta,Operativo
26315,Sra.,Dawn,Deng,31/8/2003,Soltero,F,dengdawn2003@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo
26316,Sr.,Jimmy,Martinez,9/10/2003,Soltero,M,martinezjimmy2003@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo
26317,Sr.,Jason,Zaldivar,15/1/2003,Casado,M,zaldivarjason2003@ciclovida.com,4000,5,Educacion Secundaria Completa,Operativo
26318,Sr.,Luke,Gonzalez,2/7/2003,Soltero,M,gonzalezluke2003@ciclovida.com,6000,3,Educacion Universitaria Completa,Oficinista
26319,Sra.,Dawn,Gao,11/1/2003,Soltero,F,gaodawn2003@ciclovida.com,6000,3,Educacion Universitaria Completa,Oficinista
26320,Sra.,Erika,Carlson,28/8/1987,Casado,F,carlsonerika1987@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26321,Sra.,Caitlin,Ward,18/4/1986,Soltero,F,wardcaitlin1986@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26322,Sra.,Kristine,Munoz,17/3/1986,Casado,F,munozkristine1986@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26323,Sra.,Kate,Becker,14/10/1986,Casado,F,beckerkate1986@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26324,Sra.,Cheryl,Martinez,8/12/1985,Casado,F,martinezcheryl1985@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26325,Sr.,Casey,Barbosa,20/12/2001,Soltero,M,barbosacasey2001@ciclovida.com,6000,4,Educacion Universitaria Completa,Oficinista
26326,Sra.,Rebekah,Gutierrez,20/6/2001,Soltero,F,gutierrezrebekah2001@ciclovida.com,6000,5,Educacion Universitaria Completa,Oficinista
26327,Sr.,Karl,Sosa,11/7/2001,Soltero,M,sosakarl2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26329,Srita.,Mayra,Chandra,12/2/2001,Soltero,F,chandramayra2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26330,Sr.,Marco,Suri,10/4/2001,Casado,M,surimarco2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26331,Sra.,Deb,Martinez,18/6/1935,Casado,F,martinezdeb1935@ciclovida.com,2000,4,Educacion Secundaria Completa,Operativo
26332,Sr.,Larry,Navarro,18/5/1999,Soltero,M,navarrolarry1999@ciclovida.com,4000,0,Educacion Secundaria Completa,Operativo
26333,Srita.,Kathleen,Martinez,25/12/1999,Soltero,F,martinezkathleen1999@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26334,Srita.,Michele,Ruiz,24/10/2000,Soltero,F,ruizmichele2000@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26335,Srita.,Carolyn,Kapoor,21/2/2000,Casado,F,kapoorcarolyn2000@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26336,Srita.,Jodi,Xu,22/9/2000,Soltero,F,xujodi2000@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26337,Srita.,Rosa,Wu,12/12/1999,Soltero,F,wurosa1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26338,Srita.,Marissa,Gonzales,20/2/1999,Soltero,F,gonzalesmarissa1999@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26339,,Ana,Murphy,27/8/1999,Soltero,NA,murphyana1999@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26340,Sr.,Alan,Liu,23/3/1998,Soltero,M,liualan1998@ciclovida.com,2000,0,Educacion Secundaria Incompleta,Operativo
26341,Srita.,Kara,Goel,6/9/1998,Soltero,F,goelkara1998@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26342,Srita.,Alisha,Kumar,20/4/1998,Soltero,F,kumaralisha1998@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26343,Sr.,Ronald,Sosa,14/7/1998,Soltero,M,sosaronald1998@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26344,Sr.,Orlando,Dominguez,23/9/1999,Soltero,M,dominguezorlando1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26345,Srita.,Michele,Tang,24/9/1999,Soltero,F,tangmichele1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26346,Sr.,Wesley,Guo,14/9/1999,Casado,M,guowesley1999@ciclovida.com,8000,1,Educacion Universitaria Completa,Operativo Calificado
26347,Sra.,Vanessa,Hayes,22/6/1937,Casado,F,hayesvanessa1937@ciclovida.com,2000,4,Educacion Secundaria Completa,Operativo
26348,Srita.,Olivia,Robinson,17/1/1998,Soltero,F,robinsonolivia1998@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26349,Srita.,Dawn,Alvarez,6/1/1997,Soltero,F,alvarezdawn1997@ciclovida.com,2000,0,Educacion Secundaria Incompleta,Operativo
26350,Sr.,Jay,Serrano,24/2/1997,Casado,M,serranojay1997@ciclovida.com,2000,0,Educacion Secundaria Incompleta,Operativo
26351,Sr.,Kurt,Alvarez,18/10/1997,Soltero,M,alvarezkurt1997@ciclovida.com,4000,0,Educacion Secundaria Incompleta,Operativo
26352,Sr.,Shawn,Xie,16/10/1997,Soltero,M,xieshawn1997@ciclovida.com,6000,0,Educacion Universitaria Completa,Oficinista
26353,Srita.,Ana,Gonzales,9/3/2001,Soltero,F,gonzalesana2001@ciclovida.com,8000,0,Educacion Secundaria Incompleta,Oficinista
26354,Sr.,Adrian,Gray,26/11/2000,Soltero,M,grayadrian2000@ciclovida.com,14000,0,Educacion Universitaria Completa,Operativo Calificado
26355,Srita.,Victoria,Barbosa,14/3/2000,Soltero,F,barbosavictoria2000@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26356,Sr.,Alan,Zaldivar,14/12/1972,Casado,M,zaldivaralan1972@ciclovida.com,4000,2,Educacion Secundaria Incompleta,Oficinista
26357,Sra.,Madison,Barbosa,22/4/1973,Soltero,F,barbosamadison1973@ciclovida.com,4000,2,Educacion Secundaria Incompleta,Oficinista
26358,Sra.,Tabitha,Alvarez,20/3/1974,Casado,F,alvareztabitha1974@ciclovida.com,6000,3,Educacion Universitaria Completa,Oficinista
26359,Sr.,Warren,Jai,22/8/1974,Casado,M,jaiwarren1974@ciclovida.com,8000,2,Educacion Universitaria Completa,Administrativo
26360,Sr.,Dustin,Lal,13/12/1973,Casado,M,laldustin1973@ciclovida.com,8000,2,Educacion Universitaria Completa,Oficinista
26361,Sr.,Ian,Foster,27/2/2004,Soltero,M,fosterian2004@ciclovida.com,8000,0,Educacion Secundaria Incompleta,Oficinista
26362,Sra.,Rachael,Martinez,21/3/1975,Casado,F,martinezrachael1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26363,Sra.,Brianna,Griffin,22/3/1975,Soltero,F,griffinbrianna1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26364,Sr.,Joel,Rodriguez,3/3/1975,Casado,M,rodriguezjoel1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26365,Sr.,Frederick,Garcia,11/5/1975,Casado,M,garciafrederick1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
26366,Srita.,Megan,Robinson,22/3/2004,Casado,F,robinsonmegan2004@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26368,Sr.,Theodore,Sanz,28/1/1976,Casado,M,sanztheodore1976@ciclovida.com,8000,2,Educacion Universitaria Completa,Oficinista
26369,Sra.,Brenda,Fernandez,10/9/1977,Casado,F,fernandezbrenda1977@ciclovida.com,8000,3,Educacion Universitaria Completa,Operativo Calificado
26370,Sra.,Jordyn,Simmons,30/9/1978,Soltero,F,simmonsjordyn1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26371,Sra.,Monique,Ramos,13/6/1978,Soltero,F,ramosmonique1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26372,Sra.,Dawn,Tang,23/3/1978,Soltero,F,tangdawn1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
26373,Srita.,Julia,Perez,12/5/1999,Soltero,F,perezjulia1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26374,Sr.,Hunter,Jones,14/9/1999,Soltero,M,joneshunter1999@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
26375,Srita.,Danielle,Kelly,22/8/1999,Soltero,F,kellydanielle1999@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26376,Srita.,Chloe,Perez,26/12/1998,Soltero,F,perezchloe1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26377,Srita.,Vanessa,Wood,1/6/1999,Soltero,F,woodvanessa1999@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26378,Sr.,Jackson,Parker,19/12/1998,Soltero,M,parkerjackson1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26379,Sr.,Christian,Alvarez,5/1/1999,Casado,M,alvarezchristian1999@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26380,Sr.,Justin,Russell,10/6/1998,Soltero,M,russelljustin1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26381,Srita.,Erin,Gray,12/6/1998,Soltero,F,grayerin1998@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
26382,Srita.,Catherine,Murphy,18/10/1997,Casado,F,murphycatherine1997@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
26384,Sr.,Brent,Zaldivar,19/6/1963,Casado,M,zaldivarbrent1963@ciclovida.com,2000,2,Educacion Universitaria Completa,Oficinista
26385,Sra.,Veronica,Sai,7/3/1965,Casado,F,saiveronica1965@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26386,Sr.,Brad,Nara,10/10/1966,Casado,M,narabrad1966@ciclovida.com,2000,3,Educacion Universitaria Completa,Operativo
26387,Sr.,Joe,Raman,25/4/1966,Casado,M,ramanjoe1966@ciclovida.com,6000,1,Educacion Universitaria Completa,Oficinista
26388,Sr.,Ricardo,Sharma,10/2/1966,Soltero,M,sharmaricardo1966@ciclovida.com,8000,1,Postgrado,Oficinista
26389,Sr.,Ronnie,Wagner,19/3/1967,Soltero,M,wagnerronnie1967@ciclovida.com,2000,3,Educacion Universitaria Completa,Operativo
26390,Sr.,Manuel,Fernandez,16/11/2003,Soltero,M,fernandezmanuel2003@ciclovida.com,2000,0,Educacion Universitaria Completa,Operativo
26391,Sr.,Troy,Sai,10/12/2003,Casado,M,saitroy2003@ciclovida.com,2000,0,Educacion Universitaria Completa,Operativo
26392,Sr.,Melvin,She,1/6/2004,Casado,M,shemelvin2004@ciclovida.com,4000,0,Educacion Universitaria Completa,Oficinista
26393,Sra.,Katrina,Raji,23/1/2000,Casado,F,rajikatrina2000@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26394,Sra.,Krystal,Holt,24/4/2000,Soltero,F,holtkrystal2000@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26395,Sra.,Yolanda,Chander,19/6/2000,Soltero,F,chanderyolanda2000@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26396,Sra.,Misty,Raji,28/8/2000,Casado,F,rajimisty2000@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26397,Sra.,Tonya,She,16/6/2003,Soltero,F,shetonya2003@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26398,Sra.,Casey,Pal,10/5/2003,Casado,F,palcasey2003@ciclovida.com,2000,1,Educacion Secundaria Completa,Operativo
26399,Srita.,Sandra,Huang,16/11/2002,Casado,F,huangsandra2002@ciclovida.com,4000,0,Educacion Universitaria Completa,Oficinista
26400,Sr.,Damien,Huang,29/5/2003,Casado,M,huangdamien2003@ciclovida.com,4000,0,Educacion Universitaria Completa,Oficinista
26401,Srita.,Martha,Liang,30/3/2002,Casado,F,liangmartha2002@ciclovida.com,4000,0,Educacion Universitaria Completa,Oficinista
